id,book_id,genre_id,created_at
85,30,20,2023-05-24 08:47:30.145125+00
86,30,25,2023-05-24 08:47:30.145125+00
87,30,11,2023-05-24 08:47:30.145125+00
88,31,11,2023-05-24 08:47:30.145125+00
89,31,5,2023-05-24 08:47:30.145125+00
90,31,10,2023-05-24 08:47:30.145125+00
91,32,11,2023-05-24 08:47:30.145125+00
92,32,5,2023-05-24 08:47:30.145125+00
93,32,7,2023-05-24 08:47:30.145125+00
94,33,11,2023-05-24 08:47:30.145125+00
95,33,10,2023-05-24 08:47:30.145125+00
96,33,5,2023-05-24 08:47:30.145125+00
97,34,5,2023-05-24 08:47:30.145125+00
98,34,11,2023-05-24 08:47:30.145125+00
99,34,10,2023-05-24 08:47:30.145125+00
100,35,5,2023-05-24 08:47:30.145125+00
101,35,13,2023-05-24 08:47:30.145125+00
102,35,11,2023-05-24 08:47:30.145125+00
103,35,10,2023-05-24 08:47:30.145125+00
104,35,20,2023-05-24 08:47:30.145125+00
105,36,5,2023-05-24 08:47:30.145125+00
106,36,11,2023-05-24 08:47:30.145125+00
107,37,11,2023-05-24 08:47:30.145125+00
108,37,5,2023-05-24 08:47:30.145125+00
109,37,10,2023-05-24 08:47:30.145125+00
110,37,21,2023-05-24 08:47:30.145125+00
111,37,27,2023-05-24 08:47:30.145125+00
112,38,5,2023-05-24 08:47:30.145125+00
113,38,11,2023-05-24 08:47:30.145125+00
114,39,5,2023-05-24 08:47:30.145125+00
115,39,11,2023-05-24 08:47:30.145125+00
116,40,11,2023-05-24 08:47:30.145125+00
117,40,5,2023-05-24 08:47:30.145125+00
118,40,10,2023-05-24 08:47:30.145125+00
119,41,5,2023-05-24 08:47:30.145125+00
120,41,11,2023-05-24 08:47:30.145125+00
121,42,11,2023-05-24 08:47:30.145125+00
122,42,25,2023-05-24 08:47:30.145125+00
123,42,10,2023-05-24 08:47:30.145125+00
124,42,7,2023-05-24 08:47:30.145125+00
125,43,11,2023-05-24 08:47:30.145125+00
126,43,7,2023-05-24 08:47:30.145125+00
127,43,5,2023-05-24 08:47:30.145125+00
128,44,10,2023-05-24 08:47:30.145125+00
129,44,5,2023-05-24 08:47:30.145125+00
130,44,11,2023-05-24 08:47:30.145125+00
131,44,25,2023-05-24 08:47:30.145125+00
132,45,5,2023-05-24 08:47:30.145125+00
133,45,11,2023-05-24 08:47:30.145125+00
134,45,10,2023-05-24 08:47:30.145125+00
135,46,10,2023-05-24 08:47:30.145125+00
136,46,11,2023-05-24 08:47:30.145125+00
137,47,5,2023-05-24 08:47:30.145125+00
138,47,11,2023-05-24 08:47:30.145125+00
139,48,10,2023-05-24 08:47:30.145125+00
140,48,11,2023-05-24 08:47:30.145125+00
141,48,5,2023-05-24 08:47:30.145125+00
142,49,5,2023-05-24 08:47:30.145125+00
143,49,11,2023-05-24 08:47:30.145125+00
144,49,22,2023-05-24 08:47:30.145125+00
145,49,10,2023-05-24 08:47:30.145125+00
146,50,5,2023-05-24 08:47:30.145125+00
147,50,11,2023-05-24 08:47:30.145125+00
148,50,25,2023-05-24 08:47:30.145125+00
149,51,5,2023-05-24 08:47:30.145125+00
150,51,11,2023-05-24 08:47:30.145125+00
151,52,5,2023-05-24 08:47:30.145125+00
152,52,11,2023-05-24 08:47:30.145125+00
153,53,11,2023-05-24 08:47:30.145125+00
154,53,18,2023-05-24 08:47:30.145125+00
155,53,7,2023-05-24 08:47:30.145125+00
156,53,10,2023-05-24 08:47:30.145125+00
157,53,8,2023-05-24 08:47:30.145125+00
158,53,29,2023-05-24 08:47:30.145125+00
159,54,11,2023-05-24 08:47:30.145125+00
160,54,5,2023-05-24 08:47:30.145125+00
161,54,7,2023-05-24 08:47:30.145125+00
162,55,11,2023-05-24 08:47:30.145125+00
163,55,5,2023-05-24 08:47:30.145125+00
164,55,10,2023-05-24 08:47:30.145125+00
165,56,5,2023-05-24 08:47:30.145125+00
166,56,11,2023-05-24 08:47:30.145125+00
167,56,13,2023-05-24 08:47:30.145125+00
168,56,10,2023-05-24 08:47:30.145125+00
169,57,11,2023-05-24 08:47:30.145125+00
170,57,5,2023-05-24 08:47:30.145125+00
171,57,22,2023-05-24 08:47:30.145125+00
172,57,10,2023-05-24 08:47:30.145125+00
173,58,11,2023-05-24 08:47:30.145125+00
174,58,10,2023-05-24 08:47:30.145125+00
175,58,5,2023-05-24 08:47:30.145125+00
176,58,7,2023-05-24 08:47:30.145125+00
177,59,5,2023-05-24 08:47:30.145125+00
178,59,11,2023-05-24 08:47:30.145125+00
179,60,11,2023-05-24 08:47:30.145125+00
180,60,5,2023-05-24 08:47:30.145125+00
181,60,10,2023-05-24 08:47:30.145125+00
182,61,10,2023-05-24 08:47:30.145125+00
183,61,11,2023-05-24 08:47:30.145125+00
184,62,11,2023-05-24 08:47:30.145125+00
185,62,5,2023-05-24 08:47:30.145125+00
186,62,10,2023-05-24 08:47:30.145125+00
187,63,5,2023-05-24 08:47:30.145125+00
188,63,11,2023-05-24 08:47:30.145125+00
189,63,25,2023-05-24 08:47:30.145125+00
190,64,11,2023-05-24 08:47:30.145125+00
191,64,25,2023-05-24 08:47:30.145125+00
192,64,7,2023-05-24 08:47:30.145125+00
193,65,5,2023-05-24 08:47:30.145125+00
194,65,11,2023-05-24 08:47:30.145125+00
195,66,11,2023-05-24 08:47:30.145125+00
196,66,10,2023-05-24 08:47:30.145125+00
197,66,5,2023-05-24 08:47:30.145125+00
198,67,10,2023-05-24 08:47:30.145125+00
199,67,11,2023-05-24 08:47:30.145125+00
200,68,13,2023-05-24 08:47:30.145125+00
201,68,11,2023-05-24 08:47:30.145125+00
202,68,10,2023-05-24 08:47:30.145125+00
203,68,29,2023-05-24 08:47:30.145125+00
204,69,5,2023-05-24 08:47:30.145125+00
205,69,11,2023-05-24 08:47:30.145125+00
206,70,5,2023-05-24 08:47:30.145125+00
207,70,11,2023-05-24 08:47:30.145125+00
208,70,23,2023-05-24 08:47:30.145125+00
209,71,11,2023-05-24 08:47:30.145125+00
210,71,5,2023-05-24 08:47:30.145125+00
211,71,10,2023-05-24 08:47:30.145125+00
212,72,11,2023-05-24 08:47:30.145125+00
213,72,10,2023-05-24 08:47:30.145125+00
214,72,5,2023-05-24 08:47:30.145125+00
215,73,5,2023-05-24 08:47:30.145125+00
216,73,18,2023-05-24 08:47:30.145125+00
217,73,11,2023-05-24 08:47:30.145125+00
218,73,8,2023-05-24 08:47:30.145125+00
219,74,5,2023-05-24 08:47:30.145125+00
220,74,11,2023-05-24 08:47:30.145125+00
221,74,10,2023-05-24 08:47:30.145125+00
222,75,5,2023-05-24 08:47:30.145125+00
223,75,11,2023-05-24 08:47:30.145125+00
224,76,5,2023-05-24 08:47:30.145125+00
225,76,11,2023-05-24 08:47:30.145125+00
226,76,18,2023-05-24 08:47:30.145125+00
227,76,25,2023-05-24 08:47:30.145125+00
228,76,29,2023-05-24 08:47:30.145125+00
229,77,11,2023-05-24 08:47:30.145125+00
230,77,18,2023-05-24 08:47:30.145125+00
231,77,29,2023-05-24 08:47:30.145125+00
232,77,8,2023-05-24 08:47:30.145125+00
233,77,7,2023-05-24 08:47:30.145125+00
234,78,25,2023-05-24 08:47:30.145125+00
235,78,10,2023-05-24 08:47:30.145125+00
236,78,11,2023-05-24 08:47:30.145125+00
237,79,5,2023-05-24 08:47:30.145125+00
238,79,11,2023-05-24 08:47:30.145125+00
239,79,23,2023-05-24 08:47:30.145125+00
240,80,5,2023-05-24 08:47:30.145125+00
241,80,11,2023-05-24 08:47:30.145125+00
242,81,11,2023-05-24 08:47:30.145125+00
243,81,7,2023-05-24 08:47:30.145125+00
244,82,10,2023-05-24 08:47:30.145125+00
245,82,5,2023-05-24 08:47:30.145125+00
246,82,11,2023-05-24 08:47:30.145125+00
247,83,5,2023-05-24 08:47:30.145125+00
